Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2000,Jan,72.6(R),70.6(R),2343955(R),2279033(R),64922(R),2.8(R)
2000,Feb,72.5(R),70.6(R),2345908(R),2282532(R),63376(R),2.7(R)
2000,Mar,72.5(R),70.5(R),2347495(R),2285061(R),62434(R),2.7(R)
2000,Apr,72.4(R),70.4(R),2348779(R),2286354(R),62425(R),2.7(R)
2000,May,72.3(R),70.3(R),2349856(R),2286654(R),63202(R),2.7(R)
2000,Jun,72.1(R),70.2(R),2350734(R),2286275(R),64459(R),2.7(R)
2000,Jul,72.0(R),70.0(R),2351583(R),2285895(R),65688(R),2.8(R)
2000,Aug,71.9(R),69.9(R),2352837(R),2286627(R),66210(R),2.8(R)
2000,Sep,71.8(R),69.8(R),2354714(R),2288961(R),65753(R),2.8(R)
2000,Oct,71.7(R),69.8(R),2357224(R),2292738(R),64486(R),2.7(R)
2000,Nov,71.7(R),69.7(R),2360154(R),2297034(R),63120(R),2.7(R)
2000,Dec,71.6(R),69.7(R),2363375(R),2300826(R),62549(R),2.6(R)
2001,Jan,71.6(R),69.6(R),2366436(R),2303059(R),63377(R),2.7(R)
2001,Feb,71.5(R),69.5(R),2369202(R),2303510(R),65692(R),2.8(R)
2001,Mar,71.4(R),69.4(R),2371763(R),2302614(R),69149(R),2.9(R)
2001,Apr,71.4(R),69.2(R),2374229(R),2301133(R),73096(R),3.1(R)
2001,May,71.3(R),69.0(R),2377136(R),2299881(R),77255(R),3.2(R)
2001,Jun,71.3(R),68.8(R),2381096(R),2299170(R),81926(R),3.4(R)
2001,Jul,71.3(R),68.7(R),2386836(R),2299057(R),87779(R),3.7(R)
2001,Aug,71.4(R),68.6(R),2394338(R),2298691(R),95647(R),4.0(R)
2001,Sep,71.6(R),68.4(R),2403169(R),2297695(R),105474(R),4.4(R)
2001,Oct,71.8(R),68.3(R),2412827(R),2296546(R),116281(R),4.8(R)
2001,Nov,72.0(R),68.2(R),2422303(R),2295536(R),126767(R),5.2(R)
2001,Dec,72.1(R),68.1(R),2430374(R),2295040(R),135334(R),5.6(R)
2002,Jan,72.2(R),68.0(R),2436373(R),2295503(R),140870(R),5.8(R)
2002,Feb,72.2(R),68.0(R),2439718(R),2296539(R),143179(R),5.9(R)
2002,Mar,72.1(R),67.9(R),2440565(R),2297758(R),142807(R),5.9(R)
2002,Apr,72.0(R),67.9(R),2440350(R),2299320(R),141030(R),5.8(R)
2002,May,71.9(R),67.8(R),2440431(R),2301319(R),139112(R),5.7(R)
2002,Jun,71.9(R),67.8(R),2441381(R),2303737(R),137644(R),5.6(R)
2002,Jul,71.8(R),67.8(R),2442714(R),2305893(R),136821(R),5.6(R)
2002,Aug,71.8(R),67.8(R),2444216(R),2307597(R),136619(R),5.6(R)
2002,Sep,71.7(R),67.7(R),2445909(R),2308853(R),137056(R),5.6(R)
2002,Oct,71.7(R),67.6(R),2447366(R),2309211(R),138155(R),5.6(R)
2002,Nov,71.7(R),67.6(R),2449068(R),2309240(R),139828(R),5.7(R)
2002,Dec,71.7(R),67.5(R),2451744(R),2309685(R),142059(R),5.8(R)
2003,Jan,71.7(R),67.5(R),2455870(R),2310975(R),144895(R),5.9(R)
2003,Feb,71.8(R),67.5(R),2461551(R),2313421(R),148130(R),6.0(R)
2003,Mar,72.0(R),67.6(R),2468206(R),2316841(R),151365(R),6.1(R)
2003,Apr,72.1(R),67.6(R),2474419(R),2320329(R),154090(R),6.2(R)
2003,May,72.2(R),67.6(R),2479113(R),2323208(R),155905(R),6.3(R)
2003,Jun,72.2(R),67.6(R),2482433(R),2325732(R),156701(R),6.3(R)
2003,Jul,72.2(R),67.6(R),2484930(R),2328557(R),156373(R),6.3(R)
2003,Aug,72.2(R),67.7(R),2487113(R),2332068(R),155045(R),6.2(R)
2003,Sep,72.2(R),67.7(R),2489691(R),2336608(R),153083(R),6.1(R)
2003,Oct,72.2(R),67.8(R),2493335(R),2342221(R),151114(R),6.1(R)
2003,Nov,72.3(R),68.0(R),2497789(R),2348351(R),149438(R),6.0(R)
2003,Dec,72.4(R),68.1(R),2502424(R),2354442(R),147982(R),5.9(R)
2004,Jan,72.4(R),68.2(R),2506702(R),2360141(R),146561(R),5.8(R)
2004,Feb,72.5(R),68.3(R),2510380(R),2365377(R),145003(R),5.8(R)
2004,Mar,72.6(R),68.4(R),2513846(R),2370425(R),143421(R),5.7(R)
2004,Apr,72.6(R),68.5(R),2517349(R),2375501(R),141848(R),5.6(R)
2004,May,72.7(R),68.6(R),2521169(R),2380757(R),140412(R),5.6(R)
2004,Jun,72.7(R),68.7(R),2525351(R),2386046(R),139305(R),5.5(R)
2004,Jul,72.8(R),68.8(R),2529816(R),2390948(R),138868(R),5.5(R)
2004,Aug,72.8(R),68.8(R),2533950(R),2395044(R),138906(R),5.5(R)
2004,Sep,72.8(R),68.8(R),2536885(R),2397967(R),138918(R),5.5(R)
2004,Oct,72.7(R),68.8(R),2538342(R),2399683(R),138659(R),5.5(R)
2004,Nov,72.6(R),68.7(R),2538684(R),2400546(R),138138(R),5.4(R)
2004,Dec,72.6(R),68.6(R),2538875(R),2401199(R),137676(R),5.4(R)
2005,Jan,72.5(R),68.6(R),2539673(R),2402437(R),137236(R),5.4(R)
2005,Feb,72.5(R),68.6(R),2541247(R),2404643(R),136604(R),5.4(R)
2005,Mar,72.4(R),68.6(R),2543367(R),2407870(R),135497(R),5.3(R)
2005,Apr,72.4(R),68.6(R),2545979(R),2412058(R),133921(R),5.3(R)
2005,May,72.4(R),68.7(R),2549029(R),2417028(R),132001(R),5.2(R)
2005,Jun,72.4(R),68.7(R),2552103(R),2422174(R),129929(R),5.1(R)
2005,Jul,72.4(R),68.8(R),2555295(R),2427178(R),128117(R),5.0(R)
2005,Aug,72.4(R),68.8(R),2558901(R),2432036(R),126865(R),5.0(R)
2005,Sep,72.4(R),68.8(R),2563105(R),2437116(R),125989(R),4.9(R)
2005,Oct,72.3(R),68.8(R),2567854(R),2443143(R),124711(R),4.9(R)
2005,Nov,72.3(R),68.9(R),2573274(R),2450584(R),122690(R),4.8(R)
2005,Dec,72.4(R),69.0(R),2579119(R),2459114(R),120005(R),4.7(R)
2006,Jan,72.4(R),69.1(R),2585429(R),2468322(R),117107(R),4.5(R)
2006,Feb,72.5(R),69.3(R),2592272(R),2477597(R),114675(R),4.4(R)
2006,Mar,72.6(R),69.4(R),2599632(R),2486292(R),113340(R),4.4(R)
2006,Apr,72.7(R),69.6(R),2607132(R),2493890(R),113242(R),4.3(R)
2006,May,72.8(R),69.6(R),2614283(R),2500449(R),113834(R),4.4(R)
2006,Jun,72.9(R),69.7(R),2620804(R),2506390(R),114414(R),4.4(R)
2006,Jul,72.9(R),69.8(R),2626699(R),2512567(R),114132(R),4.3(R)
2006,Aug,73.0(R),69.8(R),2631862(R),2519173(R),112689(R),4.3(R)
2006,Sep,73.0(R),69.9(R),2636312(R),2525898(R),110414(R),4.2(R)
2006,Oct,72.9(R),70.0(R),2639953(R),2532438(R),107515(R),4.1(R)
2006,Nov,72.9(R),70.0(R),2642192(R),2538175(R),104017(R),3.9(R)
2006,Dec,72.8(R),70.0(R),2642556(R),2542500(R),100056(R),3.8(R)
2007,Jan,72.6(R),70.0(R),2641561(R),2545488(R),96073(R),3.6(R)
2007,Feb,72.5(R),70.0(R),2640554(R),2547939(R),92615(R),3.5(R)
2007,Mar,72.4(R),69.9(R),2640638(R),2550633(R),90005(R),3.4(R)
2007,Apr,72.4(R),69.9(R),2642790(R),2554014(R),88776(R),3.4(R)
2007,May,72.4(R),69.9(R),2647534(R),2558179(R),89355(R),3.4(R)
2007,Jun,72.5(R),70.0(R),2654658(R),2563023(R),91635(R),3.5(R)
2007,Jul,72.6(R),70.0(R),2663263(R),2568052(R),95211(R),3.6(R)
2007,Aug,72.7(R),70.0(R),2672506(R),2573030(R),99476(R),3.7(R)
2007,Sep,72.8(R),70.0(R),2681385(R),2577840(R),103545(R),3.9(R)
2007,Oct,72.9(R),70.0(R),2688930(R),2581976(R),106954(R),4.0(R)
2007,Nov,72.9(R),70.0(R),2694865(R),2585432(R),109433(R),4.1(R)
2007,Dec,73.0(R),70.0(R),2699241(R),2588286(R),110955(R),4.1(R)
2008,Jan,72.9(R),69.9(R),2701794(R),2589878(R),111916(R),4.1(R)
2008,Feb,72.8(R),69.8(R),2702990(R),2590073(R),112917(R),4.2(R)
2008,Mar,72.7(R),69.7(R),2703730(R),2589091(R),114639(R),4.2(R)
2008,Apr,72.7(R),69.5(R),2704519(R),2587215(R),117304(R),4.3(R)
2008,May,72.6(R),69.3(R),2705732(R),2584752(R),120980(R),4.5(R)
2008,Jun,72.5(R),69.1(R),2707442(R),2581902(R),125540(R),4.6(R)
2008,Jul,72.4(R),68.9(R),2709044(R),2578775(R),130269(R),4.8(R)
2008,Aug,72.3(R),68.7(R),2710265(R),2575417(R),134848(R),5.0(R)
2008,Sep,72.3(R),68.5(R),2711284(R),2571311(R),139973(R),5.2(R)
2008,Oct,72.2(R),68.3(R),2712285(R),2565717(R),146568(R),5.4(R)
2008,Nov,72.1(R),68.0(R),2713674(R),2558190(R),155484(R),5.7(R)
2008,Dec,72.1(R),67.6(R),2716059(R),2549147(R),166912(R),6.1(R)
2009,Jan,72.0(R),67.3(R),2719503(R),2539328(R),180175(R),6.6(R)
2009,Feb,72.0(R),66.9(R),2723505(R),2529498(R),194007(R),7.1(R)
2009,Mar,72.0(R),66.6(R),2727304(R),2520766(R),206538(R),7.6(R)
2009,Apr,72.0(R),66.3(R),2729864(R),2513784(R),216080(R),7.9(R)
2009,May,71.9(R),66.1(R),2729592(R),2507787(R),221805(R),8.1(R)
2009,Jun,71.7(R),65.8(R),2725863(R),2502123(R),223740(R),8.2(R)
2009,Jul,71.4(R),65.5(R),2719158(R),2495990(R),223168(R),8.2(R)
2009,Aug,71.1(R),65.3(R),2710736(R),2488816(R),221920(R),8.2(R)
2009,Sep,70.8(R),65.0(R),2702479(R),2481077(R),221402(R),8.2(R)
2009,Oct,70.5(R),64.7(R),2696627(R),2473738(R),222889(R),8.3(R)
2009,Nov,70.4(R),64.5(R),2694955(R),2467949(R),227006(R),8.4(R)
2009,Dec,70.4(R),64.3(R),2697356(R),2464398(R),232958(R),8.6(R)
2010,Jan,70.5(R),64.2(R),2702225(R),2463164(R),239061(R),8.8(R)
2010,Feb,70.5(R),64.2(R),2706856(R),2463351(R),243505(R),9.0(R)
2010,Mar,70.5(R),64.1(R),2709657(R),2463989(R),245668(R),9.1(R)
2010,Apr,70.4(R),64.0(R),2710498(R),2464623(R),245875(R),9.1(R)
2010,May,70.4(R),64.0(R),2709927(R),2465043(R),244884(R),9.0(R)
2010,Jun,70.3(R),63.9(R),2708847(R),2464575(R),244272(R),9.0(R)
2010,Jul,70.2(R),63.8(R),2708629(R),2463171(R),245458(R),9.1(R)
2010,Aug,70.1(R),63.7(R),2710026(R),2461667(R),248359(R),9.2(R)
2010,Sep,70.1(R),63.6(R),2712566(R),2460650(R),251916(R),9.3(R)
2010,Oct,70.0(R),63.5(R),2715320(R),2460815(R),254505(R),9.4(R)
2010,Nov,70.0(R),63.4(R),2716983(R),2462575(R),254408(R),9.4(R)
2010,Dec,69.9(R),63.4(R),2717815(R),2466034(R),251781(R),9.3(R)
2011,Jan,69.8(R),63.5(R),2718555(R),2470879(R),247676(R),9.1(R)
2011,Feb,69.8(R),63.5(R),2719238(R),2476181(R),243057(R),8.9(R)
2011,Mar,69.7(R),63.6(R),2719614(R),2480767(R),238847(R),8.8(R)
2011,Apr,69.6(R),63.6(R),2720076(R),2484057(R),236019(R),8.7(R)
2011,May,69.6(R),63.5(R),2721818(R),2486702(R),235116(R),8.6(R)
2011,Jun,69.6(R),63.5(R),2725562(R),2489983(R),235579(R),8.6(R)
2011,Jul,69.6(R),63.6(R),2731316(R),2494870(R),236446(R),8.7(R)
2011,Aug,69.7(R),63.6(R),2738193(R),2501097(R),237096(R),8.7(R)
2011,Sep,69.7(R),63.7(R),2744862(R),2507771(R),237091(R),8.6(R)
2011,Oct,69.8(R),63.8(R),2750178(R),2513877(R),236301(R),8.6(R)
2011,Nov,69.7(R),63.8(R),2752883(R),2518023(R),234860(R),8.5(R)
2011,Dec,69.6(R),63.7(R),2752280(R),2519596(R),232684(R),8.5(R)
2012,Jan,69.5(R),63.7(R),2749638(R),2519564(R),230074(R),8.4(R)
2012,Feb,69.3(R),63.6(R),2747252(R),2519179(R),228073(R),8.3(R)
2012,Mar,69.2(R),63.5(R),2745979(R),2518973(R),227006(R),8.3(R)
2012,Apr,69.1(R),63.4(R),2745840(R),2519409(R),226431(R),8.2(R)
2012,May,69.0(R),63.4(R),2746972(R),2521267(R),225705(R),8.2(R)
2012,Jun,69.0(R),63.4(R),2748853(R),2524653(R),224200(R),8.2(R)
2012,Jul,68.9(R),63.4(R),2750760(R),2529276(R),221484(R),8.1(R)
2012,Aug,68.9(R),63.4(R),2752903(R),2535048(R),217855(R),7.9(R)
2012,Sep,68.9(R),63.5(R),2755839(R),2541729(R),214110(R),7.8(R)
2012,Oct,68.8(R),63.6(R),2758844(R),2548257(R),210587(R),7.6(R)
2012,Nov,68.8(R),63.6(R),2761192(R),2553942(R),207250(R),7.5(R)
2012,Dec,68.7(R),63.6(R),2762423(R),2558535(R),203888(R),7.4(R)
2013,Jan,68.6(R),63.6(R),2762296(R),2561749(R),200547(R),7.3(R)
2013,Feb,68.5(R),63.6(R),2761529(R),2564171(R),197358(R),7.1(R)
2013,Mar,68.4(R),63.6(R),2761405(R),2566985(R),194420(R),7.0(R)
2013,Apr,68.4(R),63.6(R),2762654(R),2570753(R),191901(R),6.9(R)
2013,May,68.3(R),63.6(R),2764587(R),2574577(R),190010(R),6.9(R)
2013,Jun,68.3(R),63.6(R),2766580(R),2577852(R),188728(R),6.8(R)
2013,Jul,68.2(R),63.6(R),2767951(R),2580549(R),187402(R),6.8(R)
2013,Aug,68.1(R),63.5(R),2767560(R),2582638(R),184922(R),6.7(R)
2013,Sep,67.9(R),63.5(R),2765643(R),2584734(R),180909(R),6.5(R)
2013,Oct,67.8(R),63.5(R),2764071(R),2588032(R),176039(R),6.4(R)
2013,Nov,67.7(R),63.5(R),2765218(R),2593614(R),171604(R),6.2(R)
2013,Dec,67.7(R),63.6(R),2769572(R),2601419(R),168153(R),6.1(R)
2014,Jan,67.8(R),63.7(R),2775939(R),2610953(R),164986(R),5.9(R)
2014,Feb,67.9(R),63.9(R),2782854(R),2621553(R),161301(R),5.8(R)
2014,Mar,67.9(R),64.1(R),2789126(R),2632143(R),156983(R),5.6(R)
2014,Apr,67.9(R),64.2(R),2793527(R),2641649(R),151878(R),5.4(R)
2014,May,67.9(R),64.3(R),2796022(R),2650223(R),145799(R),5.2(R)
2014,Jun,67.8(R),64.4(R),2797589(R),2658403(R),139186(R),5.0(R)
2014,Jul,67.7(R),64.5(R),2798988(R),2665983(R),133005(R),4.8(R)
2014,Aug,67.7(R),64.6(R),2801163(R),2673081(R),128082(R),4.6(R)
2014,Sep,67.6(R),64.6(R),2803833(R),2679463(R),124370(R),4.4(R)
2014,Oct,67.5(R),64.6(R),2806152(R),2684691(R),121461(R),4.3(R)
2014,Nov,67.4(R),64.6(R),2807117(R),2688223(R),118894(R),4.2(R)
2014,Dec,67.3(R),64.5(R),2807212(R),2690483(R),116729(R),4.2(R)
2015,Jan,67.2(R),64.4(R),2807587(R),2692237(R),115350(R),4.1(R)
2015,Feb,67.1(R),64.4(R),2808391(R),2693949(R),114442(R),4.1(R)
2015,Mar,67.0(R),64.3(R),2809713(R),2696447(R),113266(R),4.0(R)
2015,Apr,66.9(R),64.3(R),2811615(R),2700190(R),111425(R),4.0(R)
2015,May,66.9(R),64.3(R),2813611(R),2704756(R),108855(R),3.9(R)
