Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,272693,263829,8864,3.3
2000,Feb,270216,261503,8713,3.2
2000,Mar,269194,260800,8394,3.1
2000,Apr,271009,263683,7326,2.7
2000,May,273947,266796,7151,2.6
2000,Jun,280533,271795,8738,3.1
2000,Jul,280464,271751,8713,3.1
2000,Aug,279026,270353,8673,3.1
2000,Sep,278617,270955,7662,2.8
2000,Oct,278693,271563,7130,2.6
2000,Nov,277680,270069,7611,2.7
2000,Dec,276325,269627,6698,2.4
2001,Jan,278087,269536,8551,3.1
2001,Feb,276225,267215,9010,3.3
2001,Mar,275477,266011,9466,3.4
2001,Apr,276790,267543,9247,3.3
2001,May,279389,270180,9209,3.3
2001,Jun,284358,273105,11253,4
2001,Jul,285319,273745,11574,4.1
2001,Aug,281761,269302,12459,4.4
2001,Sep,280245,267856,12389,4.4
2001,Oct,283143,268808,14335,5.1
2001,Nov,283211,266560,16651,5.9
2001,Dec,284273,266749,17524,6.2
2002,Jan,283382,263512,19870,7
2002,Feb,285621,266744,18877,6.6
2002,Mar,285546,266575,18971,6.6
2002,Apr,283872,266152,17720,6.2
2002,May,286320,270207,16113,5.6
2002,Jun,289519,271252,18267,6.3
2002,Jul,289389,271639,17750,6.1
2002,Aug,290409,273276,17133,5.9
2002,Sep,290727,274172,16555,5.7
2002,Oct,290086,273495,16591,5.7
2002,Nov,287249,269878,17371,6
2002,Dec,284325,267009,17316,6.1
2003,Jan,283039,263985,19054,6.7
2003,Feb,285142,266403,18739,6.6
2003,Mar,285810,266922,18888,6.6
2003,Apr,288997,270687,18310,6.3
2003,May,291861,274298,17563,6
2003,Jun,296266,276160,20106,6.8
2003,Jul,295019,275708,19311,6.5
2003,Aug,295403,277279,18124,6.1
2003,Sep,295275,277820,17455,5.9
2003,Oct,295424,278204,17220,5.8
2003,Nov,295713,278028,17685,6
2003,Dec,294407,277393,17014,5.8
2004,Jan,292590,273995,18595,6.4
2004,Feb,292505,274468,18037,6.2
2004,Mar,289556,271676,17880,6.2
2004,Apr,292166,275830,16336,5.6
2004,May,295697,279734,15963,5.4
2004,Jun,300158,282132,18026,6
2004,Jul,301013,283396,17617,5.9
2004,Aug,301941,285109,16832,5.6
2004,Sep,300403,284341,16062,5.3
2004,Oct,302463,286093,16370,5.4
2004,Nov,300644,283805,16839,5.6
2004,Dec,299753,283295,16458,5.5
2005,Jan,295541,278616,16925,5.7
2005,Feb,296554,278808,17746,6
2005,Mar,294343,277143,17200,5.8
2005,Apr,297631,281115,16516,5.5
2005,May,300677,284683,15994,5.3
2005,Jun,302948,286209,16739,5.5
2005,Jul,303584,287459,16125,5.3
2005,Aug,304213,289113,15100,5
2005,Sep,302146,287176,14970,5
2005,Oct,304883,290572,14311,4.7
2005,Nov,304781,289752,15029,4.9
2005,Dec,304016,289444,14572,4.8
2006,Jan,302545,287326,15219,5
2006,Feb,302917,288254,14663,4.8
2006,Mar,303125,288733,14392,4.7
2006,Apr,306089,292139,13950,4.6
2006,May,309582,295847,13735,4.4
2006,Jun,312732,297511,15221,4.9
2006,Jul,312154,296803,15351,4.9
