Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,1228231,1193315,34916,2.8
2000,Feb,1227398,1193278,34120,2.8
2000,Mar,1224620,1192140,32480,2.7
2000,Apr,1226297,1197932,28365,2.3
2000,May,1229397,1201514,27883,2.3
2000,Jun,1247328,1212934,34394,2.8
2000,Jul,1244668,1210949,33719,2.7
2000,Aug,1241597,1207461,34136,2.7
2000,Sep,1243774,1212757,31017,2.5
2000,Oct,1242822,1213543,29279,2.4
2000,Nov,1244079,1212955,31124,2.5
2000,Dec,1242458,1214976,27482,2.2
2001,Jan,1234569,1200099,34470,2.8
2001,Feb,1231908,1196063,35845,2.9
2001,Mar,1227142,1190082,37060,3
2001,Apr,1228977,1193062,35915,2.9
2001,May,1232641,1196494,36147,2.9
2001,Jun,1249714,1205416,44298,3.5
2001,Jul,1255537,1209634,45903,3.7
2001,Aug,1238309,1189271,49038,4
2001,Sep,1239657,1190746,48911,3.9
2001,Oct,1251114,1191391,59723,4.8
2001,Nov,1252387,1183713,68674,5.5
2001,Dec,1254887,1182824,72063,5.7
2002,Jan,1237884,1155988,81896,6.6
2002,Feb,1247447,1169011,78436,6.3
2002,Mar,1246133,1166468,79665,6.4
2002,Apr,1247785,1172468,75317,6
2002,May,1250090,1181035,69055,5.5
2002,Jun,1261922,1184435,77487,6.1
2002,Jul,1260828,1186713,74115,5.9
2002,Aug,1266090,1193426,72664,5.7
2002,Sep,1267694,1196900,70794,5.6
2002,Oct,1266864,1195954,70910,5.6
2002,Nov,1261009,1186337,74672,5.9
2002,Dec,1252652,1178431,74221,5.9
2003,Jan,1258803,1175343,83460,6.6
2003,Feb,1269287,1185785,83502,6.6
2003,Mar,1266962,1182376,84586,6.7
2003,Apr,1274865,1192086,82779,6.5
2003,May,1279762,1199942,79820,6.2
2003,Jun,1290055,1200098,89957,7
2003,Jul,1285577,1199294,86283,6.7
2003,Aug,1292822,1209792,83030,6.4
2003,Sep,1287818,1207516,80302,6.2
2003,Oct,1293221,1214435,78786,6.1
2003,Nov,1297001,1215888,81113,6.3
2003,Dec,1289474,1212389,77085,6
2004,Jan,1279680,1194268,85412,6.7
2004,Feb,1284587,1201461,83126,6.5
2004,Mar,1276020,1194154,81866,6.4
2004,Apr,1279809,1206698,73111,5.7
2004,May,1289512,1218776,70736,5.5
2004,Jun,1300180,1222215,77965,6
2004,Jul,1308645,1232812,75833,5.8
2004,Aug,1312401,1239446,72955,5.6
2004,Sep,1309064,1239131,69933,5.3
2004,Oct,1319986,1249430,70556,5.3
2004,Nov,1317302,1244492,72810,5.5
2004,Dec,1311406,1238564,72842,5.6
2005,Jan,1291144,1217144,74000,5.7
2005,Feb,1296448,1219961,76487,5.9
2005,Mar,1288987,1215374,73613,5.7
2005,Apr,1298494,1228819,69675,5.4
2005,May,1308604,1241457,67147,5.1
2005,Jun,1314596,1244153,70443,5.4
2005,Jul,1316497,1248029,68468,5.2
2005,Aug,1318368,1253969,64399,4.9
2005,Sep,1319122,1255084,64038,4.9
2005,Oct,1324559,1263374,61185,4.6
2005,Nov,1321398,1257414,63984,4.8
2005,Dec,1322965,1260747,62218,4.7
2006,Jan,1310453,1246109,64344,4.9
2006,Feb,1317141,1255085,62056,4.7
2006,Mar,1315011,1254532,60479,4.6
2006,Apr,1324486,1265681,58805,4.4
2006,May,1332450,1274785,57665,4.3
2006,Jun,1342949,1281077,61872,4.6
2006,Jul,1348567,1286490,62077,4.6
2006,Aug,1350317,1291659,58658,4.3
2006,Sep,1348091,1294628,53463,4
2006,Oct,1359342,1309062,50280,3.7
2006,Nov,1352271,1300753,51518,3.8
2006,Dec,1348099,1299023,49076,3.6
2007,Jan,1335272,1278920,56352,4.2
2007,Feb,1337402,1283446,53956,4
2007,Mar,1334123,1285809,48314,3.6
2007,Apr,1335620,1290416,45204,3.4
2007,May,1346598,1302236,44362,3.3
2007,Jun,1368305,1317161,51144,3.7
2007,Jul,1373141,1321077,52064,3.8
2007,Aug,1365688,1315672,50016,3.7
2007,Sep,1373931,1322941,50990,3.7
2007,Oct,1377563,1328066,49497,3.6
2007,Nov,1378440,1325659,52781,3.8
2007,Dec,1372793,1316926,55867,4.1
2008,Jan,1372502,1308898,63604,4.6
2008,Feb,1375393,1311971,63422,4.6
2008,Mar,1381224,1317661,63563,4.6
2008,Apr,1390254,1331031,59223,4.3
2008,May,1389109,1326359,62750,4.5
2008,Jun,1402335,1333239,69096,4.9
2008,Jul,1398513,1327476,71037,5.1
2008,Aug,1391981,1321917,70064,5
2008,Sep,1390203,1322200,68003,4.9
2008,Oct,1395213,1322630,72583,5.2
2008,Nov,1391945,1317524,74421,5.3
2008,Dec,1386780,1303966,82814,6
2009,Jan,1382496,1280377,102119,7.4
2009,Feb,1385864,1274173,111691,8.1
2009,Mar,1381234,1267718,113516,8.2
2009,Apr,1400295,1286056,114239,8.2
2009,May,1403341,1288606,114735,8.2
2009,Jun,1412518,1290341,122177,8.6
2009,Jul,1402999,1283525,119474,8.5
2009,Aug,1387469,1273816,113653,8.2
2009,Sep,1373501,1263368,110133,8
2009,Oct,1373403,1263502,109901,8
2009,Nov,1381160,1271536,109624,7.9
2009,Dec,1376035,1256537,119498,8.7
2010,Jan,1399430,1267437,131993,9.4
2010,Feb,1401378,1267800,133578,9.5
2010,Mar,1407486,1271302,136184,9.7
2010,Apr,1414062,1288161,125901,8.9
2010,May,1414356,1290585,123771,8.8
2010,Jun,1422436,1295216,127220,8.9
2010,Jul,1426637,1298574,128063,9
2010,Aug,1428034,1299558,128476,9
2010,Sep,1423368,1298414,124954,8.8
2010,Oct,1422182,1296197,125985,8.9
2010,Nov,1424185,1292580,131605,9.2
2010,Dec,1414647,1284090,130557,9.2
2011,Jan,1409473,1276308,133165,9.4
2011,Feb,1412542,1280416,132126,9.4
2011,Mar,1412627,1285212,127415,9
2011,Apr,1419068,1300412,118656,8.4
2011,May,1431719,1306214,125505,8.8
2011,Jun,1432640,1310325,122315,8.5
2011,Jul,1436190,1313814,122376,8.5
2011,Aug,1437154,1314640,122514,8.5
2011,Sep,1441187,1321426,119761,8.3
2011,Oct,1444155,1325710,118445,8.2
2011,Nov,1444879,1326915,117964,8.2
2011,Dec,1433812,1314396,119416,8.3
