Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,141241,137134,4107,2.9
2000,Feb,143666,139647,4019,2.8
2000,Mar,143716,139941,3775,2.6
2000,Apr,144623,141301,3322,2.3
2000,May,145444,142271,3173,2.2
2000,Jun,148902,145009,3893,2.6
2000,Jul,146508,142745,3763,2.6
2000,Aug,145900,142105,3795,2.6
2000,Sep,147946,144479,3467,2.3
2000,Oct,148193,144909,3284,2.2
2000,Nov,148079,144597,3482,2.4
2000,Dec,146180,143144,3036,2.1
2001,Jan,143889,140016,3873,2.7
2001,Feb,146324,142361,3963,2.7
2001,Mar,146385,142426,3959,2.7
2001,Apr,147072,143180,3892,2.6
2001,May,148874,145032,3842,2.6
2001,Jun,151614,146961,4653,3.1
2001,Jul,150941,146251,4690,3.1
2001,Aug,149734,144923,4811,3.2
2001,Sep,152734,147863,4871,3.2
2001,Oct,153815,148048,5767,3.7
2001,Nov,153372,146790,6582,4.3
2001,Dec,152183,145335,6848,4.5
2002,Jan,149481,141323,8158,5.5
2002,Feb,151859,144013,7846,5.2
2002,Mar,151525,143686,7839,5.2
2002,Apr,152374,145114,7260,4.8
2002,May,154637,148036,6601,4.3
2002,Jun,156925,149556,7369,4.7
2002,Jul,155066,147918,7148,4.6
2002,Aug,155482,148494,6988,4.5
2002,Sep,157827,151051,6776,4.3
2002,Oct,157790,150912,6878,4.4
2002,Nov,155569,148342,7227,4.6
2002,Dec,153804,146475,7329,4.8
2003,Jan,152989,144502,8487,5.5
2003,Feb,155282,146871,8411,5.4
2003,Mar,154334,145927,8407,5.4
2003,Apr,156231,148219,8012,5.1
2003,May,158473,150745,7728,4.9
2003,Jun,161726,153047,8679,5.4
2003,Jul,159328,151073,8255,5.2
2003,Aug,160313,152305,8008,5
2003,Sep,162019,154312,7707,4.8
2003,Oct,162873,155166,7707,4.7
2003,Nov,162374,154394,7980,4.9
2003,Dec,160173,152391,7782,4.9
2004,Jan,158293,149640,8653,5.5
