Year,Period,labor force,employment,unemployment,unemployment rate
2015,Jan,70717,66571,4146,5.9
2015,Feb,71487,67262,4225,5.9
2015,Mar,71623,67400,4223,5.9
2015,Apr,71019,67166,3853,5.4
2015,May,72176,68289,3887,5.4
2015,Jun,71371,67241,4130,5.8
2015,Jul,71603,67691,3912,5.5
2015,Aug,71357,67870,3487,4.9
2015,Sep,72114,68827,3287,4.6
2015,Oct,71816,68601,3215,4.5
2015,Nov,72026,68601,3425,4.8
2015,Dec,71627,67955,3672,5.1
2016,Jan,72003(T),67644(T),4359(T),6.1(T)
2016,Feb,72886(T),68602(T),4284(T),5.9(T)
2016,Mar,73009(T),68830(T),4179(T),5.7(T)
2016,Apr,73045(T),69224(T),3821(T),5.2(T)
2016,May,73882(T),70297(T),3585(T),4.9(T)
2016,Jun,73318(T),69273(T),4045(T),5.5(T)
2016,Jul,73257(T),69310(T),3947(T),5.4(T)
2016,Aug,73349(T),69845(T),3504(T),4.8(T)
2016,Sep,73790(T),70598(T),3192(T),4.3(T)
2016,Oct,73911(T),70961(T),2950(T),4.0(T)
2016,Nov,73778(T),70891(T),2887(T),3.9(T)
2016,Dec,72843(T),69871(T),2972(T),4.1(T)
2017,Jan,72238(T),68528(T),3710(T),5.1(T)
2017,Feb,73540(T),70345(T),3195(T),4.3(T)
2017,Mar,73415(T),70856(T),2559(T),3.5(T)
2017,Apr,73750(T),71481(T),2269(T),3.1(T)
2017,May,74453(T),72241(T),2212(T),3.0(T)
2017,Jun,74526(T),71915(T),2611(T),3.5(T)
2017,Jul,75035(T),72272(T),2763(T),3.7(T)
2017,Aug,75283(T),72623(T),2660(T),3.5(T)
2017,Sep,76362(T),73932(T),2430(T),3.2(T)
2017,Oct,75857(T),73454(T),2403(T),3.2(T)
2017,Nov,75873(T),73384(T),2489(T),3.3(T)
2017,Dec,75046(T),72345(T),2701(T),3.6(T)
2018,Jan,73884(T),70705(T),3179(T),4.3(T)
2018,Feb,75813(T),72431(T),3382(T),4.5(T)
2018,Mar,75828(T),72827(T),3001(T),4.0(T)
2018,Apr,76161(T),73536(T),2625(T),3.4(T)
2018,May,76780(T),74357(T),2423(T),3.2(T)
2018,Jun,76730(T),73780(T),2950(T),3.8(T)
2018,Jul,76827(T),73690(T),3137(T),4.1(T)
2018,Aug,76834(T),74113(T),2721(T),3.5(T)
2018,Sep,78030(T),75542(T),2488(T),3.2(T)
2018,Oct,77741(T),75219(T),2522(T),3.2(T)
2018,Nov,77385(T),74787(T),2598(T),3.4(T)
2018,Dec,76950(T),74149(T),2801(T),3.6(T)
2019,Jan,76190(T),72832(T),3358(T),4.4(T)
2019,Feb,77015(T),73868(T),3147(T),4.1(T)
2019,Mar,77015(T),74351(T),2664(T),3.5(T)
2019,Apr,77006(T),74803(T),2203(T),2.9(T)
2019,May,77222(T),75124(T),2098(T),2.7(T)
2019,Jun,76526(T),74010(T),2516(T),3.3(T)
2019,Jul,77191(T),74579(T),2612(T),3.4(T)
2019,Aug,77245(T),74937(T),2308(T),3.0(T)
2019,Sep,78065(T),75971(T),2094(T),2.7(T)
2019,Oct,77908(T),75707(T),2201(T),2.8(T)
2019,Nov,77175(T),74879(T),2296(T),3.0(T)
2019,Dec,76701(T),74167(T),2534(T),3.3(T)
2020,Jan,76797(T),73464(T),3333(T),4.3(T)
2020,Feb,77635(T),74136(T),3499(T),4.5(T)
2020,Mar,76914(T),73057(T),3857(T),5.0(T)
2020,Apr,73103(T),64924(T),8179(T),11.2(T)
2020,May,74454(T),66377(T),8077(T),10.8(T)
2020,Jun,76642(T),68367(T),8275(T),10.8(T)
2020,Jul,73630(T),68906(T),4724(T),6.4(T)
