Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,90600,87807,2793,3.1
2000,Feb,91827,89095,2732,3
2000,Mar,91090,88544,2546,2.8
2000,Apr,92851,90669,2182,2.4
2000,May,93218,91086,2132,2.3
2000,Jun,94023,91346,2677,2.8
2000,Jul,94325,91719,2606,2.8
2000,Aug,93466,90831,2635,2.8
2000,Sep,94495,92066,2429,2.6
2000,Oct,95117,92783,2334,2.5
2000,Nov,94223,91707,2516,2.7
2000,Dec,93405,91209,2196,2.4
2001,Jan,93547,90685,2862,3.1
2001,Feb,94953,92024,2929,3.1
2001,Mar,94462,91527,2935,3.1
2001,Apr,95893,93171,2722,2.8
2001,May,96575,93899,2676,2.8
2001,Jun,96720,93412,3308,3.4
2001,Jul,97575,94293,3282,3.4
2001,Aug,99476,96100,3376,3.4
2001,Sep,102038,98677,3361,3.3
2001,Oct,102526,98449,4077,4
2001,Nov,102063,97582,4481,4.4
2001,Dec,100614,95853,4761,4.7
2002,Jan,100557,94581,5976,5.9
2002,Feb,102174,96374,5800,5.7
2002,Mar,100481,94728,5753,5.7
2002,Apr,100784,95508,5276,5.2
2002,May,101960,97124,4836,4.7
2002,Jun,102871,97364,5507,5.4
2002,Jul,101588,96306,5282,5.2
2002,Aug,102545,97383,5162,5
2002,Sep,103480,98478,5002,4.8
2002,Oct,104987,99864,5123,4.9
2002,Nov,103052,97694,5358,5.2
2002,Dec,102756,97324,5432,5.3
2003,Jan,103369,96993,6376,6.2
2003,Feb,103431,96991,6440,6.2
2003,Mar,102437,95873,6564,6.4
2003,Apr,104188,97888,6300,6
2003,May,104543,98598,5945,5.7
2003,Jun,106559,99886,6673,6.3
2003,Jul,106896,100514,6382,6
2003,Aug,105913,99740,6173,5.8
2003,Sep,107094,101194,5900,5.5
2003,Oct,107846,102015,5831,5.4
2003,Nov,106701,100626,6075,5.7
2003,Dec,106006,100013,5993,5.7
2004,Jan,106852,99970,6882,6.4
2004,Feb,107331,100566,6765,6.3
2004,Mar,107408,100752,6656,6.2
2004,Apr,108130,102195,5935,5.5
2004,May,108824,103078,5746,5.3
2004,Jun,110710,104317,6393,5.8
2004,Jul,109849,103587,6262,5.7
2004,Aug,109457,103505,5952,5.4
2004,Sep,110326,104634,5692,5.2
2004,Oct,109877,104086,5791,5.3
2004,Nov,109304,103282,6022,5.5
2004,Dec,108024,101821,6203,5.7
2005,Jan,107930,101153,6777,6.3
2005,Feb,108874,101863,7011,6.4
2005,Mar,108425,101691,6734,6.2
