Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,63876,60997,2879,4.5
2000,Feb,63794,61003,2791,4.4
2000,Mar,63713,61173,2540,4
2000,Apr,63331,61153,2178,3.4
2000,May,63549,61447,2102,3.3
2000,Jun,64340,61765,2575,4
2000,Jul,63908,61243,2665,4.2
2000,Aug,64139,61427,2712,4.2
2000,Sep,63915,61557,2358,3.7
2000,Oct,63378,61160,2218,3.5
2000,Nov,63448,60977,2471,3.9
2000,Dec,63531,61249,2282,3.6
2001,Jan,62713,59951,2762,4.4
2001,Feb,63341,60448,2893,4.6
2001,Mar,63393,60446,2947,4.6
2001,Apr,63462,60746,2716,4.3
2001,May,63796,61152,2644,4.1
2001,Jun,64073,60934,3139,4.9
2001,Jul,63827,60669,3158,4.9
2001,Aug,63953,60707,3246,5.1
2001,Sep,64550,61394,3156,4.9
2001,Oct,64948,61189,3759,5.8
2001,Nov,65455,60879,4576,7
2001,Dec,65864,61016,4848,7.4
2002,Jan,65498,59876,5622,8.6
2002,Feb,65669,60444,5225,8
2002,Mar,65816,60713,5103,7.8
2002,Apr,66164,61498,4666,7.1
2002,May,66040,61863,4177,6.3
2002,Jun,66533,61788,4745,7.1
2002,Jul,66141,61585,4556,6.9
2002,Aug,66767,62284,4483,6.7
2002,Sep,66626,62255,4371,6.6
2002,Oct,66200,61808,4392,6.6
2002,Nov,66005,61307,4698,7.1
2002,Dec,65944,61227,4717,7.2
2003,Jan,67200,61748,5452,8.1
2003,Feb,67801,62445,5356,7.9
2003,Mar,67945,62585,5360,7.9
2003,Apr,68193,63197,4996,7.3
2003,May,68426,63634,4792,7
2003,Jun,69562,64088,5474,7.9
2003,Jul,68937,63723,5214,7.6
2003,Aug,68859,63789,5070,7.4
2003,Sep,68462,63602,4860,7.1
2003,Oct,69155,64270,4885,7.1
2003,Nov,69200,64032,5168,7.5
2003,Dec,68724,63746,4978,7.2
2004,Jan,68218,62640,5578,8.2
2004,Feb,68766,63225,5541,8.1
2004,Mar,68556,63029,5527,8.1
2004,Apr,68256,63318,4938,7.2
2004,May,68689,63907,4782,7
2004,Jun,69120,63815,5305,7.7
2004,Jul,69276,64087,5189,7.5
2004,Aug,68689,63667,5022,7.3
2004,Sep,69337,64549,4788,6.9
2004,Oct,70069,65120,4949,7.1
2004,Nov,69695,64598,5097,7.3
2004,Dec,69307,64266,5041,7.3
2005,Jan,68283,63036,5247,7.7
2005,Feb,69042,63570,5472,7.9
2005,Mar,68923,63779,5144,7.5
2005,Apr,69050,64245,4805,7
2005,May,69526,64876,4650,6.7
2005,Jun,69160,64318,4842,7
2005,Jul,69083,64295,4788,6.9
2005,Aug,68725,64176,4549,6.6
2005,Sep,69178,64722,4456,6.4
2005,Oct,69495,65313,4182,6
2005,Nov,69385,65007,4378,6.3
2005,Dec,69495,65115,4380,6.3
2006,Jan,68627,64148,4479,6.5
2006,Feb,69222,64954,4268,6.2
2006,Mar,69959,65905,4054,5.8
2006,Apr,70202,66275,3927,5.6
2006,May,70374,66531,3843,5.5
2006,Jun,71032,66747,4285,6
2006,Jul,70255,65998,4257,6.1
2006,Aug,70145,66143,4002,5.7
2006,Sep,70687,67132,3555,5
2006,Oct,71050,67745,3305,4.7
2006,Nov,71474,68041,3433,4.8
2006,Dec,71081,67789,3292,4.6
2007,Jan,70615,66831,3784,5.4
2007,Feb,71475,67867,3608,5
2007,Mar,71103,67930,3173,4.5
2007,Apr,70579,67649,2930,4.2
2007,May,71224,68354,2870,4
2007,Jun,72145,68714,3431,4.8
2007,Jul,72231,68763,3468,4.8
2007,Aug,71584,68368,3216,4.5
2007,Sep,72347,69178,3169,4.4
2007,Oct,72520,69404,3116,4.3
2007,Nov,72905,69552,3353,4.6
2007,Dec,72335,68660,3675,5.1
2008,Jan,72647,68429,4218,5.8
2008,Feb,72652,68402,4250,5.8
2008,Mar,72730,68492,4238,5.8
2008,Apr,72812,68973,3839,5.3
2008,May,73004,68976,4028,5.5
2008,Jun,73088,68614,4474,6.1
2008,Jul,73124,68425,4699,6.4
2008,Aug,72537,68011,4526,6.2
2008,Sep,73067,68793,4274,5.8
2008,Oct,73738,69090,4648,6.3
2008,Nov,73629,68960,4669,6.3
2008,Dec,73397,68167,5230,7.1
2009,Jan,73916,67612,6304,8.5
2009,Feb,74268,67551,6717,9
2009,Mar,74248,67518,6730,9.1
2009,Apr,75073,68459,6614,8.8
2009,May,75227,68621,6606,8.8
2009,Jun,75326,68150,7176,9.5
2009,Jul,74731,67823,6908,9.2
2009,Aug,73556,67071,6485,8.8
2009,Sep,74143,67885,6258,8.4
2009,Oct,74268,67899,6369,8.6
2009,Nov,74581,68131,6450,8.6
2009,Dec,74247,67064,7183,9.7
2010,Jan,73402,65378,8024,10.9
2010,Feb,73910,65863,8047,10.9
2010,Mar,74285,65974,8311,11.2
2010,Apr,74345,66624,7721,10.4
2010,May,74581,66914,7667,10.3
2010,Jun,73862,65789,8073,10.9
2010,Jul,73786,65426,8360,11.3
2010,Aug,73686,65444,8242,11.2
2010,Sep,74214,66317,7897,10.6
2010,Oct,74266,66270,7996,10.8
2010,Nov,74710,66338,8372,11.2
2010,Dec,74444,66134,8310,11.2
2011,Jan,73561,64980,8581,11.7
2011,Feb,74481,65785,8696,11.7
2011,Mar,74691,66264,8427,11.3
2011,Apr,74944,67078,7866,10.5
2011,May,75475,67251,8224,10.9
2011,Jun,75172,66872,8300,11
2011,Jul,74911,66601,8310,11.1
2011,Aug,74704,66456,8248,11
2011,Sep,75918,67875,8043,10.6
2011,Oct,76013,68036,7977,10.5
2011,Nov,76210,68305,7905,10.4
2011,Dec,75420,67340,8080,10.7
2012,Jan,74522,66082,8440,11.3
2012,Feb,75499,66919,8580,11.4
2012,Mar,75001,66478,8523,11.4
2012,Apr,74235,66248,7987,10.8
2012,May,74569,66647,7922,10.6
2012,Jun,74701,66146,8555,11.5
2012,Jul,73759,65334,8425,11.4
2012,Aug,73396,65326,8070,11
2012,Sep,74253,66747,7506,10.1
2012,Oct,74657,67107,7550,10.1
2012,Nov,74013,66679,7334,9.9
2012,Dec,73672,65978,7694,10.4
2013,Jan,73594,65237,8357,11.4
2013,Feb,74145,65968,8177,11
2013,Mar,73323,65847,7476,10.2
2013,Apr,73247,66371,6876,9.4
2013,May,73624,66738,6886,9.4
2013,Jun,73693,66181,7512,10.2
2013,Jul,73278,66018,7260,9.9
2013,Aug,72446,65485,6961,9.6
2013,Sep,73643,67064,6579,8.9
2013,Oct,72831,66331,6500,8.9
2013,Nov,72890,66570,6320,8.7
2013,Dec,71932,65812,6120,8.5
2014,Jan,72206,65489,6717,9.3
2014,Feb,72621,65844,6777,9.3
2014,Mar,72744,66373,6371,8.8
2014,Apr,72763,66834,5929,8.1
2014,May,72639,67469,5170,7.1
2014,Jun,72235,66938,5297,7.3
2014,Jul,72102,66812,5290,7.3
2014,Aug,71132,66366,4766,6.7
2014,Sep,71944,67744,4200,5.8
2014,Oct,71972,67917,4055,5.6
2014,Nov,72297,68117,4180,5.8
2014,Dec,71432,67339,4093,5.7
2015,Jan,71289,66643,4646,6.5
2015,Feb,71567,67080,4487,6.3
2015,Mar,71442,66975,4467,6.3
2015,Apr,71538,67534,4004,5.6
2015,May,72214,68247,3967,5.5
2015,Jun,71576,67459,4117,5.8
2015,Jul,71104,67197,3907,5.5
2015,Aug,70416,66887,3529,5
2015,Sep,71691,68264,3427,4.8
2015,Oct,71520,68367,3153,4.4
2015,Nov,71746,68439,3307,4.6
2015,Dec,71623,68297,3326,4.6
2016,Jan,70126(T),66463(T),3663(T),5.2(T)
2016,Feb,70627(T),66910(T),3717(T),5.3(T)
2016,Mar,70602(T),67086(T),3516(T),5.0(T)
2016,Apr,71145(T),67756(T),3389(T),4.8(T)
2016,May,71622(T),68416(T),3206(T),4.5(T)
2016,Jun,71410(T),67739(T),3671(T),5.1(T)
2016,Jul,70885(T),67236(T),3649(T),5.1(T)
2016,Aug,70698(T),67415(T),3283(T),4.6(T)
2016,Sep,71639(T),68610(T),3029(T),4.2(T)
2016,Oct,71787(T),68913(T),2874(T),4.0(T)
2016,Nov,71984(T),69051(T),2933(T),4.1(T)
2016,Dec,71043(T),68267(T),2776(T),3.9(T)
2017,Jan,71707(T),68458(T),3249(T),4.5(T)
2017,Feb,71634(T),68573(T),3061(T),4.3(T)
2017,Mar,71633(T),69062(T),2571(T),3.6(T)
2017,Apr,72113(T),69747(T),2366(T),3.3(T)
2017,May,72129(T),69612(T),2517(T),3.5(T)
2017,Jun,72554(T),69581(T),2973(T),4.1(T)
2017,Jul,72195(T),68937(T),3258(T),4.5(T)
2017,Aug,71895(T),68698(T),3197(T),4.4(T)
2017,Sep,73123(T),70208(T),2915(T),4.0(T)
2017,Oct,73032(T),70104(T),2928(T),4.0(T)
2017,Nov,73001(T),69936(T),3065(T),4.2(T)
2017,Dec,72461(T),69394(T),3067(T),4.2(T)
2018,Jan,72306(T),68875(T),3431(T),4.7(T)
2018,Feb,73196(T),69597(T),3599(T),4.9(T)
2018,Mar,73003(T),69667(T),3336(T),4.6(T)
2018,Apr,72693(T),69582(T),3111(T),4.3(T)
2018,May,73382(T),70416(T),2966(T),4.0(T)
2018,Jun,73346(T),69696(T),3650(T),5.0(T)
2018,Jul,72641(T),68771(T),3870(T),5.3(T)
2018,Aug,71530(T),68116(T),3414(T),4.8(T)
2018,Sep,72916(T),69715(T),3201(T),4.4(T)
2018,Oct,73733(T),70519(T),3214(T),4.4(T)
2018,Nov,73725(T),70491(T),3234(T),4.4(T)
2018,Dec,73054(T),69678(T),3376(T),4.6(T)
2019,Jan,72505(T),68894(T),3611(T),5.0(T)
2019,Feb,73124(T),69667(T),3457(T),4.7(T)
2019,Mar,72896(T),69787(T),3109(T),4.3(T)
2019,Apr,72764(T),70082(T),2682(T),3.7(T)
2019,May,73128(T),70490(T),2638(T),3.6(T)
2019,Jun,73148(T),70191(T),2957(T),4.0(T)
2019,Jul,72764(T),69593(T),3171(T),4.4(T)
2019,Aug,72803(T),69925(T),2878(T),4.0(T)
2019,Sep,73727(T),71107(T),2620(T),3.6(T)
2019,Oct,74096(T),71422(T),2674(T),3.6(T)
2019,Nov,74349(T),71526(T),2823(T),3.8(T)
2019,Dec,73886(T),71019(T),2867(T),3.9(T)
2020,Jan,74548(T),71111(T),3437(T),4.6(T)
2020,Feb,75054(T),71462(T),3592(T),4.8(T)
2020,Mar,75166(T),70970(T),4196(T),5.6(T)
2020,Apr,72050(T),64582(T),7468(T),10.4(T)
2020,May,73507(T),65601(T),7906(T),10.8(T)
2020,Jun,74760(T),66091(T),8669(T),11.6(T)
2020,Jul,71730(T),66482(T),5248(T),7.3(T)
2020,Aug,72554(T),67656(T),4898(T),6.8(T)
2020,Sep,74106(T),68465(T),5641(T),7.6(T)
2020,Oct,74741(T),69070(T),5671(T),7.6(T)
2020,Nov,75163(T),68866(T),6297(T),8.4(T)
2020,Dec,73987(T),67319(T),6668(T),9.0(T)
2021,Jan,74560(T),67540(T),7020(T),9.4(T)
2021,Feb,75026(T),68315(T),6711(T),8.9(T)
2021,Mar,75088(T),68363(T),6725(T),9.0(T)
2021,Apr,75363(T),68734(T),6629(T),8.8(T)
2021,May,75600(T),69159(T),6441(T),8.5(T)
2021,Jun,75803(T),68809(T),6994(T),9.2(T)
2021,Jul,75452(T),68594(T),6858(T),9.1(T)
2021,Aug,75152(T),68953(T),6199(T),8.2(T)
2021,Sep,76150(T),70511(T),5639(T),7.4(T)
2021,Oct,75870(T),70374(T),5496(T),7.2(T)
2021,Nov,75237(T),70552(T),4685(T),6.2(T)
2021,Dec,74861(T),70384(T),4477(T),6.0(T)
2022,Jan,74394(T),69622(T),4772(T),6.4(T)
2022,Feb,74697(T),70371(T),4326(T),5.8(T)
2022,Mar,74588(T),70802(T),3786(T),5.1(T)
2022,Apr,74001(T),70812(T),3189(T),4.3(T)
2022,May,74399(T),71348(T),3051(T),4.1(T)
2022,Jun,74158(T),71027(T),3131(T),4.2(T)
2022,Jul,73475(T),70112(T),3363(T),4.6(T)
2022,Aug,73425(T),70245(T),3180(T),4.3(T)
2022,Sep,74435(T),71540(T),2895(T),3.9(T)
2022,Oct,74117(T),71039(T),3078(T),4.2(T)
2022,Nov,74087(T),70954(T),3133(T),4.2(T)
2022,Dec,73493(T),70562(T),2931(T),4.0(T)
2023,Jan,73519(T),70078(T),3441(T),4.7(T)
2023,Feb,74097(T),70396(T),3701(T),5.0(T)
2023,Mar,73845(T),70617(T),3228(T),4.4(T)
2023,Apr,73462(T),70555(T),2907(T),4.0(T)
2023,May,73904(T),70693(T),3211(T),4.3(T)
2023,Jun,74081(T),70435(T),3646(T),4.9(T)
2023,Jul,73085(T),69585(T),3500(T),4.8(T)
2023,Aug,73506(T),69772(T),3734(T),5.1(T)
2023,Sep,73586(T),70233(T),3353(T),4.6(T)
2023,Oct,73972(T),70506(T),3466(T),4.7(T)
2023,Nov,74083(T),70537(T),3546(T),4.8(T)
2023,Dec,73363(T),69539(T),3824(T),5.2(T)
2024,Jan,73285(T),69046(T),4239(T),5.8(T)
2024,Feb,73539(T),69274(T),4265(T),5.8(T)
2024,Mar,73292(T),69504(T),3788(T),5.2(T)
2024,Apr,73373(T),69647(T),3726(T),5.1(T)
2024,May,73498(T),69611(T),3887(T),5.3(T)
2024,Jun,73938(T),69489(T),4449(T),6.0(T)
2024,Jul,73771(T),68971(T),4800(T),6.5(T)
2024,Aug,73386(T),68642(T),4744(T),6.5(T)
2024,Sep,73961(T),69652(T),4309(T),5.8(T)
2024,Oct,74341(T),69880(T),4461(T),6.0(T)
2024,Nov,74272(T),69593(T),4679(T),6.3(T)
2024,Dec,73723(T),69186(T),4537(T),6.2(T)
2025,Jan,73796,68947,4849,6.6
2025,Feb,73642,68603,5039,6.8
2025,Mar,73014,68581,4433,6.1
2025,Apr,73624,69178,4446,6
2025,May,73556(P),69224(P),4332(P),5.9(P)
